Mã chứng khoán,Tên chứng khoán,Ngành
HAS,Công ty Cổ phần Hacisco,Xây dựng và Vật liệu
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng và Vật liệu
HID,Công ty Cổ phần Halcom Vietnam,Xây dựng và Vật liệu
HT1,Công ty Cổ phần Xi măng Hà Tiên 1,Xây dựng và Vật liệu
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Xây dựng và Vật liệu
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Xây dựng và Vật liệu
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Xây dựng và Vật liệu
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Xây dựng và Vật liệu
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Xây dựng và Vật liệu
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,Xây dựng và Vật liệu
KPF,Công ty Cổ phần Đầu tư Tài chính Hoàng Minh,Xây dựng và Vật liệu
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Xây dựng và Vật liệu
LCG,Công ty Cổ phần LICOGI 16,Xây dựng và Vật liệu
LM8,Công ty Cổ phần Lilama 18,Xây dựng và Vật liệu
MCG,Công ty Cổ phần Cơ điện và Xây dựng Việt Nam,Xây dựng và Vật liệu
MDG,Công ty Cổ phần Miền Đông,Xây dựng và Vật liệu
NAV,Công ty Cổ phần Nam Việt,Xây dựng và Vật liệu
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Xây dựng và Vật liệu
NNC,Công ty Cổ phần Đá Núi Nhỏ,Xây dựng và Vật liệu
PC1,Công ty Cổ phần Xây lắp điện I,Xây dựng và Vật liệu
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Xây dựng và Vật liệu
PTB,Công ty Cổ phần Phú Tài,Xây dựng và Vật liệu
PTC,Công ty Cổ phần Đầu tư và Xây dựng Bưu điện,Xây dựng và Vật liệu
PXI,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,Xây dựng và Vật liệu
PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng và Vật liệu
ROS,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng và Vật liệu
SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Xây dựng và Vật liệu
SC5,Công ty Cổ phần Xây dựng số 5,Xây dựng và Vật liệu
SII,Công ty Cổ phần Hạ tầng Nước Sài Gòn,Xây dựng và Vật liệu
TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,Xây dựng và Vật liệu
TCR,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Xây dựng và Vật liệu
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Xây dựng và Vật liệu
TGG,Công ty Cổ phần Đầu tư và Xây dựng Trường Giang,Xây dựng và Vật liệu
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Xây dựng và Vật liệu
TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Xây dựng và Vật liệu
TTB,Công ty Cổ phần Tập đoàn Tiến Bộ,Xây dựng và Vật liệu
UDC,Công ty Cổ phần Xây dựng và Phát triển đô thị Tỉnh Bà Rịa,Xây dựng và Vật liệu
UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,Xây dựng và Vật liệu
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu
VGC,Tổng Công ty Viglacera,Xây dựng và Vật liệu
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Xây dựng và Vật liệu
VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,Xây dựng và Vật liệu
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Ô tô và phụ tùng
CTF,Công ty Cổ phần City Auto,Ô tô và phụ tùng
DRC,Công ty Cổ phần Cao su Đà Nẵng,Ô tô và phụ tùng
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô và phụ tùng
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Ô tô và phụ tùng
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Ô tô và phụ tùng
SRC,Công ty Cổ phần Cao su Sao Vàng,Ô tô và phụ tùng
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,Ô tô và phụ tùng
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Ô tô và phụ tùng
TMT,Công ty Cổ phần Ô tô TMT,Ô tô và phụ tùng
